host_id,time,MSMQ
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:21:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:22:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:22:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:23:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:24:00,2.958292
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:24:00,2.958292
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:25:00,1.972374
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:26:00,1.971784
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:26:00,1.971784
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:27:00,2.958654
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:28:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:28:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:29:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:30:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:31:00,0.9863
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:31:00,0.9863
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:32:00,1.972793
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:33:00,0.98615
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:33:00,0.98615
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:34:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:35:00,0.98625
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:35:00,0.98625
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:36:00,0.98594
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:37:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:37:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:38:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:39:00,1.972231
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:40:00,1.972185
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:40:00,1.972185
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:41:00,0.986126
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:42:00,0.986138
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:43:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:43:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:44:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:44:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:45:00,1.972905
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:46:00,0.986218
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:47:00,1.942414
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:47:00,1.942414
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:48:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:49:00,0.986125
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:49:00,0.986125
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:50:00,0.986004
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:51:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:51:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:52:00,2.959323
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:53:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:54:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:54:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:55:00,0.986136
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:56:00,0
